"order_date","order_year","order_month","month_number","sales","profit","data_type"
"2014-01-01","2014","January","1","14236.895","2450.1907","Actual"
"2014-02-01","2014","February","2","4519.892","862.3084","Actual"
"2014-03-01","2014","March","3","55691.009","498.7299","Actual"
"2014-04-01","2014","April","4","28178.561","3466.9382","Actual"
"2014-05-01","2014","May","5","23648.287","2738.7096","Actual"
"2014-06-01","2014","June","6","34595.1276","4976.5244","Actual"
"2014-07-01","2014","July","7","33946.393","-841.4826","Actual"
"2014-08-01","2014","August","8","27909.4685","5318.1050","Actual"
"2014-09-01","2014","September","9","81777.3508","8328.0994","Actual"
"2014-10-01","2014","October","10","31453.393","3448.2573","Actual"
"2014-11-01","2014","November","11","78628.7167","9292.1269","Actual"
"2014-12-01","2014","December","12","69136.8765","8906.9304","Actual"
"2015-01-01","2015","January","1","18174.0756","-3281.0070","Actual"
"2015-02-01","2015","February","2","11951.411","2813.8508","Actual"
"2015-03-01","2015","March","3","38726.2520","9732.0978","Actual"
"2015-04-01","2015","April","4","34195.2085","4187.4962","Actual"
"2015-05-01","2015","May","5","30131.6865","4667.8690","Actual"
"2015-06-01","2015","June","6","24797.292","3335.5572","Actual"
"2015-07-01","2015","July","7","28765.325","3288.6483","Actual"
"2015-08-01","2015","August","8","36898.3322","5355.8084","Actual"
"2015-09-01","2015","September","9","64595.918","8209.1627","Actual"
"2015-10-01","2015","October","10","31404.9235","2817.3660","Actual"
"2015-11-01","2015","November","11","75972.5635","12474.7884","Actual"
"2015-12-01","2015","December","12","74919.5212","8016.9659","Actual"
"2016-01-01","2016","January","1","18542.491","2824.8233","Actual"
"2016-02-01","2016","February","2","22978.815","5004.5795","Actual"
"2016-03-01","2016","March","3","51715.875","3611.9680","Actual"
"2016-04-01","2016","April","4","38049.335","2846.4329","Actual"
"2016-05-01","2016","May","5","56987.728","8662.1464","Actual"
"2016-06-01","2016","June","6","40344.534","4750.3781","Actual"
"2016-07-01","2016","July","7","39261.963","4432.8779","Actual"
"2016-08-01","2016","August","8","31115.3743","2062.0693","Actual"
"2016-09-01","2016","September","9","73410.0249","9328.6576","Actual"
"2016-10-01","2016","October","10","59687.745","16243.1425","Actual"
"2016-11-01","2016","November","11","79411.9658","4011.4075","Actual"
"2016-12-01","2016","December","12","96999.043","17885.3093","Actual"
"2017-01-01","2017","January","1","43971.374","7140.4391","Actual"
"2017-02-01","2017","February","2","20301.1334","1613.8720","Actual"
"2017-03-01","2017","March","3","58872.3528","14751.8915","Actual"
"2017-04-01","2017","April","4","36521.5361","933.2900","Actual"
"2017-05-01","2017","May","5","43852.3662","6265.9433","Actual"
"2017-06-01","2017","June","6","52981.7257","8223.3357","Actual"
"2017-07-01","2017","July","7","45264.416","6952.6212","Actual"
"2017-08-01","2017","August","8","63120.888","9040.9557","Actual"
"2017-09-01","2017","September","9","87574.692","10889.3696","Actual"
"2017-10-01","2017","October","10","77776.9232","9275.2755","Actual"
"2017-11-01","2017","November","11","118447.8250","9690.1037","Actual"
"2017-12-01","2017","December","12","83829.3188","8483.3468","Actual"
